ID,Transport,Vehicle Type,Frequency of Traveling by Air,Vehicle Monthly Distance Km
6469,walk/bicycle,,frequently,93
6470,walk/bicycle,,never,66
6471,walk/bicycle,,very frequently,59
6472,public,,very frequently,1676
6473,private,lpg,frequently,8787
6474,private,electric,never,4686
6475,public,,frequently,705
6476,private,electric,rarely,1701
6477,walk/bicycle,,frequently,9
6478,public,,rarely,284
6479,public,,rarely,117
6480,public,,never,1843
6481,public,,very frequently,1544
6482,public,,never,376
6483,private,electric,rarely,5048
6484,walk/bicycle,,frequently,17
6485,walk/bicycle,,very frequently,22
6486,private,petrol,very frequently,1869
6487,walk/bicycle,,rarely,1
6488,public,,never,1416
6489,walk/bicycle,,rarely,90
6490,public,,rarely,1060
6491,public,,rarely,278
6492,walk/bicycle,,rarely,49
6493,private,electric,very frequently,5470
6494,public,,very frequently,1804
6495,walk/bicycle,,very frequently,53
6496,private,diesel,never,6989
6497,walk/bicycle,,rarely,32
6498,walk/bicycle,,never,60
6499,public,,rarely,1688
6500,walk/bicycle,,never,68
6501,public,,very frequently,418
6502,walk/bicycle,,never,23
6503,walk/bicycle,,frequently,21
6504,walk/bicycle,,frequently,24
6505,walk/bicycle,,very frequently,67
6506,public,,never,1325
6507,private,petrol,never,1901
6508,walk/bicycle,,frequently,33
6509,private,diesel,very frequently,1750
6510,private,diesel,never,8855
6511,private,lpg,never,7141
6512,walk/bicycle,,very frequently,26
6513,walk/bicycle,,very frequently,97
6514,walk/bicycle,,rarely,97
6515,public,,never,1297
6516,private,lpg,frequently,9440
6517,walk/bicycle,,never,36
6518,walk/bicycle,,never,46
6519,private,electric,rarely,5165
6520,walk/bicycle,,frequently,77
6521,public,,very frequently,675
6522,walk/bicycle,,frequently,96
6523,private,hybrid,never,1638
6524,walk/bicycle,,rarely,90
6525,private,electric,never,1477
6526,public,,rarely,1429
6527,public,,rarely,1009
6528,public,,frequently,1259
6529,walk/bicycle,,frequently,4
6530,walk/bicycle,,rarely,78
6531,private,diesel,never,3212
6532,private,diesel,rarely,2222
6533,private,diesel,frequently,2028
6534,public,,rarely,1442
6535,walk/bicycle,,never,76
6536,public,,never,682
6537,walk/bicycle,,never,59
6538,public,,very frequently,326
6539,public,,never,1133
6540,private,petrol,frequently,9543
6541,walk/bicycle,,never,87
6542,walk/bicycle,,very frequently,98
6543,walk/bicycle,,rarely,67
6544,walk/bicycle,,frequently,74
6545,private,diesel,very frequently,4339
6546,walk/bicycle,,never,86
6547,private,lpg,never,8076
6548,public,,frequently,320
6549,walk/bicycle,,rarely,35
6550,private,petrol,never,6589
6551,public,,frequently,1428
6552,public,,very frequently,1502
6553,private,lpg,rarely,9930
6554,walk/bicycle,,never,47
6555,public,,frequently,1574
6556,walk/bicycle,,very frequently,62
6557,walk/bicycle,,frequently,74
6558,public,,rarely,1770
6559,public,,never,323
6560,walk/bicycle,,rarely,22
6561,private,petrol,frequently,2276
6562,public,,very frequently,1732
6563,public,,very frequently,409
6564,private,petrol,rarely,7056
6565,private,diesel,rarely,9156
6566,walk/bicycle,,rarely,55
6567,walk/bicycle,,rarely,48
6568,private,hybrid,never,7569
6569,public,,never,40
6570,walk/bicycle,,frequently,71
6571,public,,very frequently,1046
6572,public,,rarely,1521
6573,private,petrol,never,3550
6574,walk/bicycle,,never,67
6575,private,lpg,never,7467
6576,walk/bicycle,,very frequently,47
6577,public,,rarely,643
6578,private,diesel,never,7459
6579,public,,never,1013
6580,walk/bicycle,,never,5
6581,walk/bicycle,,never,27
6582,walk/bicycle,,frequently,0
6583,walk/bicycle,,rarely,77
6584,walk/bicycle,,frequently,32
6585,private,petrol,rarely,28
6586,private,hybrid,very frequently,1334
6587,public,,never,1993
6588,private,petrol,never,723
6589,public,,frequently,422
6590,private,petrol,rarely,7831
6591,private,electric,rarely,5264
6592,private,petrol,very frequently,4368
6593,private,diesel,rarely,6369
6594,walk/bicycle,,never,94
6595,public,,never,556
6596,walk/bicycle,,rarely,7
6597,private,electric,very frequently,5320
6598,public,,never,850
6599,walk/bicycle,,never,32
6600,walk/bicycle,,very frequently,32
6601,private,hybrid,never,7452
6602,public,,very frequently,1379
6603,public,,never,64
6604,private,hybrid,very frequently,3077
6605,walk/bicycle,,frequently,9
6606,public,,very frequently,1333
6607,public,,very frequently,4
6608,walk/bicycle,,frequently,66
6609,walk/bicycle,,rarely,78
6610,walk/bicycle,,rarely,74
6611,private,hybrid,very frequently,1171
6612,public,,very frequently,611
6613,private,lpg,very frequently,8697
6614,public,,very frequently,138
6615,public,,very frequently,105
6616,private,petrol,frequently,9604
6617,public,,very frequently,1774
6618,public,,never,1315
6619,walk/bicycle,,never,42
6620,walk/bicycle,,frequently,55
6621,walk/bicycle,,rarely,6
6622,public,,never,1920
6623,private,hybrid,very frequently,4450
6624,public,,never,967
6625,public,,frequently,358
6626,walk/bicycle,,never,4
6627,public,,rarely,672
6628,public,,never,74
6629,walk/bicycle,,never,66
6630,public,,very frequently,418
6631,private,petrol,never,9846
6632,private,lpg,never,2822
6633,public,,very frequently,444
6634,walk/bicycle,,rarely,58
6635,public,,very frequently,1692
6636,private,petrol,never,5401
6637,public,,rarely,956
6638,private,electric,very frequently,2701
6639,public,,frequently,1502
6640,walk/bicycle,,rarely,24
6641,public,,never,1575
6642,private,electric,frequently,2509
6643,private,electric,frequently,379
6644,private,petrol,never,3768
6645,public,,frequently,526
6646,walk/bicycle,,frequently,18
6647,private,petrol,rarely,8554
6648,walk/bicycle,,frequently,11
6649,public,,never,1928
6650,public,,frequently,874
6651,walk/bicycle,,never,62
6652,walk/bicycle,,very frequently,79
6653,public,,very frequently,1216
6654,walk/bicycle,,rarely,63
6655,walk/bicycle,,never,81
6656,private,diesel,rarely,4224
6657,walk/bicycle,,frequently,30
6658,public,,rarely,998
6659,private,lpg,never,5513
6660,private,petrol,very frequently,7916
6661,private,hybrid,frequently,2458
6662,walk/bicycle,,rarely,97
6663,public,,frequently,1725
6664,public,,rarely,915
6665,walk/bicycle,,very frequently,64
6666,private,lpg,frequently,389
6667,walk/bicycle,,very frequently,74
6668,private,hybrid,frequently,3326
6669,public,,frequently,893
6670,walk/bicycle,,very frequently,14
6671,public,,frequently,574
6672,private,electric,never,6395
6673,public,,never,940
6674,public,,very frequently,1850
6675,public,,rarely,1752
6676,walk/bicycle,,rarely,51
6677,private,petrol,rarely,1884
6678,private,hybrid,never,8268
6679,public,,frequently,1250
6680,public,,never,907
6681,private,petrol,rarely,1877
6682,private,lpg,very frequently,6558
6683,public,,frequently,1005
6684,private,lpg,rarely,1670
6685,private,diesel,rarely,9362
6686,private,diesel,very frequently,708
6687,private,lpg,rarely,2348
6688,private,petrol,never,6134
6689,public,,rarely,957
6690,public,,very frequently,424
6691,walk/bicycle,,never,11
6692,public,,very frequently,553
6693,public,,frequently,1645
6694,walk/bicycle,,never,45
6695,public,,very frequently,441
6696,public,,never,1208
6697,walk/bicycle,,frequently,52
6698,public,,never,1001
6699,private,electric,very frequently,3807
6700,public,,frequently,333
6701,walk/bicycle,,never,60
6702,walk/bicycle,,never,37
6703,private,diesel,never,3149
6704,walk/bicycle,,frequently,6
6705,walk/bicycle,,very frequently,92
6706,walk/bicycle,,very frequently,31
6707,private,lpg,very frequently,1473
6708,public,,very frequently,702
6709,private,lpg,rarely,207
6710,walk/bicycle,,rarely,18
6711,private,petrol,frequently,3535
6712,walk/bicycle,,rarely,7
6713,private,electric,rarely,7505
6714,walk/bicycle,,very frequently,63
6715,private,diesel,rarely,7443
6716,walk/bicycle,,rarely,86
6717,public,,rarely,559
6718,walk/bicycle,,never,24
6719,walk/bicycle,,frequently,84
6720,private,diesel,never,3452
6721,public,,rarely,736
6722,walk/bicycle,,never,54
6723,private,petrol,never,1380
6724,private,petrol,frequently,410
6725,public,,never,398
6726,public,,rarely,501
6727,private,diesel,frequently,3583
6728,walk/bicycle,,rarely,35
6729,walk/bicycle,,rarely,14
6730,private,petrol,rarely,2932
6731,private,electric,very frequently,8174
6732,private,hybrid,frequently,8387
6733,walk/bicycle,,very frequently,66
6734,public,,never,1306
6735,walk/bicycle,,frequently,59
6736,private,lpg,very frequently,8856
6737,walk/bicycle,,rarely,11
6738,public,,never,391
6739,public,,frequently,1519
6740,walk/bicycle,,very frequently,96
6741,public,,rarely,1396
6742,private,lpg,frequently,5732
6743,private,diesel,rarely,6983
6744,public,,very frequently,0
6745,walk/bicycle,,very frequently,73
6746,public,,never,146
6747,walk/bicycle,,never,97
6748,public,,frequently,1251
6749,walk/bicycle,,frequently,45
6750,walk/bicycle,,very frequently,13
6751,private,petrol,frequently,6753
6752,walk/bicycle,,very frequently,10
6753,walk/bicycle,,very frequently,65
6754,public,,rarely,335
6755,public,,very frequently,1087
6756,walk/bicycle,,never,69
6757,private,hybrid,never,1457
6758,walk/bicycle,,rarely,77
6759,private,diesel,very frequently,778
6760,private,electric,rarely,6344
6761,public,,rarely,93
6762,walk/bicycle,,rarely,3
6763,public,,rarely,1291
6764,private,diesel,frequently,1281
6765,private,diesel,never,4075
6766,walk/bicycle,,very frequently,7
6767,public,,frequently,1273
6768,walk/bicycle,,never,77
6769,public,,frequently,1549
6770,walk/bicycle,,rarely,32
6771,walk/bicycle,,very frequently,78
6772,walk/bicycle,,frequently,40
6773,private,diesel,frequently,8912
6774,private,lpg,very frequently,5814
6775,private,petrol,very frequently,6931
6776,public,,frequently,1533
6777,private,lpg,rarely,9453
6778,private,diesel,very frequently,8865
6779,walk/bicycle,,rarely,95
6780,public,,very frequently,1882
6781,public,,rarely,425
6782,public,,rarely,1989
6783,public,,never,1668
6784,private,diesel,very frequently,298
6785,walk/bicycle,,rarely,1
6786,public,,never,1654
6787,walk/bicycle,,frequently,86
6788,private,lpg,never,520
6789,walk/bicycle,,very frequently,84
6790,public,,very frequently,503
6791,private,lpg,frequently,2553
6792,private,diesel,very frequently,9167
6793,public,,very frequently,79
6794,public,,frequently,1909
6795,walk/bicycle,,rarely,50
6796,walk/bicycle,,rarely,79
6797,public,,rarely,494
6798,walk/bicycle,,very frequently,92
6799,public,,very frequently,8
6800,public,,never,243
6801,public,,frequently,847
6802,private,petrol,never,1749
6803,private,petrol,never,6155
6804,public,,very frequently,914
6805,public,,rarely,221
6806,public,,very frequently,936
6807,private,hybrid,never,4021
6808,public,,never,278
6809,public,,never,629
6810,public,,rarely,1300
6811,public,,rarely,49
6812,walk/bicycle,,rarely,48
6813,private,hybrid,never,2787
6814,public,,frequently,678
6815,public,,very frequently,1525
6816,public,,frequently,1704
6817,walk/bicycle,,rarely,18
6818,public,,never,1951
6819,public,,very frequently,879
6820,private,diesel,rarely,2032
6821,private,petrol,frequently,1911
6822,walk/bicycle,,never,19
6823,walk/bicycle,,frequently,19
6824,private,diesel,frequently,5597
6825,walk/bicycle,,very frequently,41
6826,private,lpg,never,30
6827,private,electric,never,4366
6828,public,,rarely,1088
6829,private,lpg,frequently,9764
6830,public,,frequently,290
6831,walk/bicycle,,rarely,47
6832,public,,rarely,539
6833,private,electric,frequently,7706
6834,private,diesel,rarely,4718
6835,public,,never,1791
6836,public,,frequently,752
6837,walk/bicycle,,very frequently,43
6838,public,,frequently,589
6839,private,diesel,very frequently,526
6840,private,lpg,rarely,8525
6841,private,hybrid,very frequently,2366
6842,walk/bicycle,,frequently,8
6843,private,petrol,frequently,5599
6844,walk/bicycle,,rarely,94
6845,public,,rarely,1802
6846,public,,never,854
6847,private,electric,rarely,1692
6848,private,electric,rarely,9410
6849,private,electric,frequently,285
6850,walk/bicycle,,never,81
6851,private,lpg,rarely,7102
6852,private,lpg,very frequently,5085
6853,walk/bicycle,,rarely,2
6854,private,hybrid,very frequently,6525
6855,walk/bicycle,,frequently,35
6856,private,hybrid,very frequently,859
6857,walk/bicycle,,frequently,97
6858,private,lpg,frequently,7496
6859,public,,very frequently,1087
6860,public,,never,715
6861,private,petrol,very frequently,1420
6862,public,,very frequently,1622
6863,public,,never,1208
6864,public,,rarely,453
6865,walk/bicycle,,rarely,23
6866,public,,very frequently,1274
6867,public,,never,455
6868,private,hybrid,very frequently,8502
6869,walk/bicycle,,never,72
6870,walk/bicycle,,very frequently,31
6871,private,diesel,very frequently,3560
6872,walk/bicycle,,very frequently,54
6873,public,,frequently,141
6874,private,lpg,never,7525
6875,public,,frequently,104
6876,private,petrol,frequently,4646
6877,walk/bicycle,,very frequently,7
6878,private,diesel,very frequently,9799
6879,public,,very frequently,1795
6880,private,hybrid,rarely,6484
6881,public,,rarely,296
6882,walk/bicycle,,very frequently,83
6883,private,diesel,very frequently,5961
6884,walk/bicycle,,never,85
6885,private,hybrid,very frequently,9982
6886,private,petrol,rarely,2816
6887,private,lpg,very frequently,2750
6888,private,lpg,very frequently,8631
6889,walk/bicycle,,frequently,19
6890,walk/bicycle,,frequently,63
6891,public,,rarely,325
6892,walk/bicycle,,rarely,55
6893,public,,rarely,562
6894,private,lpg,very frequently,5711
6895,public,,rarely,1386
6896,private,lpg,never,5915
6897,public,,rarely,67
6898,public,,frequently,1918
6899,private,diesel,very frequently,9120
6900,public,,rarely,724
6901,public,,very frequently,1713
6902,private,hybrid,never,6751
6903,public,,rarely,829
6904,private,lpg,frequently,5784
6905,walk/bicycle,,rarely,13
6906,public,,rarely,1336
6907,private,hybrid,very frequently,7585
6908,walk/bicycle,,frequently,40
6909,walk/bicycle,,very frequently,0
6910,walk/bicycle,,frequently,22
6911,public,,frequently,354
6912,public,,frequently,1176
6913,walk/bicycle,,never,33
6914,public,,rarely,1719
6915,walk/bicycle,,never,84
6916,private,lpg,rarely,6358
6917,private,electric,rarely,8929
6918,private,lpg,frequently,7462
6919,walk/bicycle,,frequently,7
6920,private,electric,rarely,1621
6921,public,,never,1179
6922,private,hybrid,rarely,9601
6923,walk/bicycle,,very frequently,9
6924,private,diesel,frequently,7328
6925,walk/bicycle,,never,0
6926,public,,very frequently,678
6927,walk/bicycle,,frequently,31
6928,walk/bicycle,,never,44
6929,public,,never,939
6930,public,,rarely,972
6931,private,petrol,very frequently,193
6932,walk/bicycle,,never,6
6933,private,electric,never,1962
6934,private,hybrid,very frequently,6245
6935,public,,rarely,1951
6936,public,,frequently,1214
6937,public,,frequently,1746
6938,walk/bicycle,,frequently,45
6939,walk/bicycle,,very frequently,37
6940,walk/bicycle,,never,5
6941,private,diesel,very frequently,794
6942,walk/bicycle,,very frequently,56
6943,walk/bicycle,,never,95
6944,walk/bicycle,,never,88
6945,public,,rarely,1309
6946,public,,very frequently,415
6947,public,,never,1208
6948,private,diesel,rarely,283
6949,private,petrol,very frequently,8730
6950,public,,rarely,722
6951,private,hybrid,rarely,417
6952,private,electric,very frequently,9607
6953,walk/bicycle,,frequently,52
6954,public,,rarely,1327
6955,public,,frequently,1314
6956,private,hybrid,never,9291
6957,public,,rarely,499
6958,public,,rarely,867
6959,walk/bicycle,,very frequently,69
6960,public,,never,368
6961,public,,frequently,130
6962,private,hybrid,very frequently,2780
6963,walk/bicycle,,rarely,65
6964,public,,frequently,1914
6965,private,petrol,rarely,7057
6966,walk/bicycle,,very frequently,54
6967,public,,frequently,218
6968,private,electric,rarely,9529
6969,walk/bicycle,,never,35
6970,walk/bicycle,,rarely,26
6971,private,petrol,frequently,570
6972,public,,very frequently,1357
6973,private,diesel,never,6155
6974,private,electric,never,3093
6975,walk/bicycle,,very frequently,34
6976,walk/bicycle,,rarely,24
6977,public,,never,547
6978,walk/bicycle,,rarely,66
6979,public,,never,1687
6980,private,electric,never,4312
6981,walk/bicycle,,rarely,93
6982,private,lpg,very frequently,2407
6983,walk/bicycle,,very frequently,68
6984,private,lpg,never,6671
6985,public,,rarely,755
6986,walk/bicycle,,rarely,7
6987,private,electric,never,659
6988,walk/bicycle,,rarely,98
6989,public,,never,1837
6990,public,,rarely,1523
6991,public,,never,702
